average,date,highest,lowest,order_count,volume
533900,2023-01-09,579500,395400,92,119
527700,2023-01-10,528000,396700,100,140
666000,2023-01-11,666000,666000,136,858
620200.35,2023-01-12,952900,397200,71,85
570000,2023-01-13,886600,397600,87,127
700000,2023-01-14,884700,398600,86,122
795000,2023-01-15,839400,398800,124,168
576000,2023-01-16,695000,475000,89,130
673900,2023-01-17,758000,648900,82,157
550000,2023-01-18,837000,399900,88,118
695000,2023-01-19,794800,500000,93,115
695000,2023-01-20,793800,500300,101,151
593900,2023-01-21,750400,500500,115,158
599100,2023-01-22,629000,501300,133,191
748750,2023-01-23,749900,605000,102,220
600100,2023-01-24,700600,590000,107,163
502200,2023-01-25,651800,502000,71,104
502100,2023-01-26,502100,502100,83,135
501800,2023-01-27,501900,501800,94,106
530000,2023-01-28,540000,500800,128,173
510850,2023-01-29,659800,500800,122,208
659500,2023-01-30,659600,579000,93,170
630000,2023-01-31,647700,400450,95,119
553400,2023-02-01,554000,400500,94,142
538900,2023-02-02,553000,400600,90,118
476097.47,2023-02-03,539000,400600,74,79
509000,2023-02-04,539000,400600,97,122
400600,2023-02-05,509850,350000,112,135
500000,2023-02-06,523300,401000,105,127
554000,2023-02-07,554000,554000,108,231
500000,2023-02-08,510000,401500,93,112
497900,2023-02-09,497900,497900,100,243
499900,2023-02-10,509000,401700,93,118
402000,2023-02-11,490100,401800,128,332
474900,2023-02-12,474900,419000,108,160
474900,2023-02-13,474900,469950,89,160
430000,2023-02-14,480000,380500,94,172
390833.7,2023-02-15,449900,219500,81,92
398750,2023-02-16,449800,395400,69,106
444800,2023-02-17,444800,444700,102,183
442000,2023-02-18,444300,395700,116,152
444300,2023-02-19,444300,444300,148,256
439900,2023-02-20,439900,439900,113,436
440000,2023-02-21,444400,396400,120,156
442900,2023-02-22,444000,395800,110,163
442500,2023-02-23,442800,442500,87,301
400000,2023-02-24,442100,370000,108,117
439700,2023-02-25,442100,400000,107,154
435800,2023-02-26,441000,395900,108,119
400000,2023-02-27,439000,395800,96,196
439700,2023-02-28,442200,380300,94,140
406364.12,2023-03-01,420900,380300,89,97
405000,2023-03-02,430000,385000,79,105
374016.21,2023-03-03,380500,230000,83,95
419000,2023-03-04,419000,418000,141,178
383500,2023-03-05,410000,383200,144,177
400000,2023-03-06,409600,360150,94,108
400000,2023-03-07,419000,360100,106,154
400000,2023-03-08,441000,391500,104,166
400000,2023-03-09,400000,400000,103,328
405000,2023-03-10,405000,405000,118,230
434500,2023-03-11,440700,260400,126,158
439600,2023-03-12,440700,261100,113,140
360794.51,2023-03-13,408900,262500,85,100
419900,2023-03-14,435400,400000,122,140
377246.5,2023-03-15,420000,290000,91,100
429800,2023-03-16,430000,292650,100,139
400600,2023-03-17,400600,400600,97,481
430000,2023-03-18,430000,430000,97,332
417500,2023-03-19,429900,295300,115,188
423000,2023-03-20,424500,297400,88,120
375252.44,2023-03-21,419900,300000,67,90
429900,2023-03-22,429900,424200,106,1087
450000,2023-03-23,450000,450000,97,418
499800,2023-03-24,553900,301400,105,149
524800,2023-03-25,549000,350700,105,117
512450,2023-03-26,529000,351600,118,138
351900,2023-03-27,431200,351900,87,167
398500,2023-03-28,415000,351700,80,163
389900,2023-03-29,428900,351800,83,118
400000,2023-03-30,400000,400000,90,239
424000,2023-03-31,430000,351800,95,106
388342.56,2023-04-01,430000,352450,87,94
420000,2023-04-02,438100,352600,99,132
385800,2023-04-03,385800,385800,72,160
352900,2023-04-04,417200,352700,99,190
414550,2023-04-05,414800,390000,88,158
352700,2023-04-06,414500,260400,91,163
395500,2023-04-07,400000,395500,66,123
371100,2023-04-08,399000,261050,102,107
262000,2023-04-09,333400,261200,85,105
275000,2023-04-10,332900,261700,90,113
329000,2023-04-11,332000,261850,94,111
328700,2023-04-12,328700,328350,80,174
325000,2023-04-13,328000,325000,66,144
328000,2023-04-14,328000,327900,95,184
327900,2023-04-15,327900,327800,122,239
320000,2023-04-16,328000,263300,101,128
295000,2023-04-17,320000,263500,97,166
295000,2023-04-18,317900,295000,58,104
324000,2023-04-19,324500,324000,102,459
417200,2023-04-20,420700,408800,96,294
370903.65,2023-04-21,474800,263100,82,85
389700,2023-04-22,470000,276600,113,175
385800,2023-04-23,386000,277100,92,151
425303.01,2023-04-24,494950,277200,92,100
499150,2023-04-25,499500,389350,80,128
442500,2023-04-26,450000,280300,81,106
432500,2023-04-27,440000,432500,69,160
396808.32,2023-04-28,447400,265000,77,84
425478.31,2023-04-29,447600,299400,74,83
330400,2023-04-30,449100,330100,98,118
330200,2023-05-01,444400,256000,101,113
358382.09,2023-05-02,440000,234400,81,86
330800,2023-05-03,429500,330500,70,115
378646.67,2023-05-04,390000,300000,68,75
330900,2023-05-05,347550,330000,91,203
330100,2023-05-06,358500,233700,94,126
327800,2023-05-07,350000,277800,96,147
388100,2023-05-08,388600,277900,97,111
344000,2023-05-09,385000,277900,97,102
388800,2023-05-10,419900,383400,87,188
365267.07,2023-05-11,419600,278100,68,82
310906.78,2023-05-12,415000,277550,77,87
348575.68,2023-05-13,409700,114000,80,88
279400,2023-05-14,279400,279400,103,260
321500,2023-05-15,321500,320000,81,114
321500,2023-05-16,340000,320900,89,231
275205.68,2023-05-17,320000,115200,77,88
306136.24,2023-05-18,344700,279800,85,93
344700,2023-05-19,350000,344600,112,455
392500,2023-05-20,419900,280100,93,124
281050,2023-05-21,391000,125100,121,174
313913.83,2023-05-22,362450,281100,65,81
362400,2023-05-23,415100,300300,79,105
306462.28,2023-05-24,419200,300300,62,79
353111.88,2023-05-25,404300,351000,82,96
449600,2023-05-26,449600,419200,98,358
448900,2023-05-27,448900,439750,100,272
450000,2023-05-28,450000,445000,99,293
499100,2023-05-29,528000,475000,82,179
458644.42,2023-05-30,543000,353500,68,77
407836.53,2023-05-31,524900,354250,89,98
406962.2,2023-06-01,484900,355300,70,91
405579.88,2023-06-02,463900,355600,72,86
484800,2023-06-03,484900,450000,81,172
357900,2023-06-04,499800,357600,86,117
419695.7,2023-06-05,494850,358400,83,93
430600,2023-06-06,494300,361100,72,79
363000,2023-06-07,494000,362600,84,122
412122.99,2023-06-08,478600,363000,67,87
394826.36,2023-06-09,440000,363450,61,69
429900,2023-06-10,429900,429900,93,226
365000,2023-06-11,410000,350000,87,133
348743.02,2023-06-12,411900,126700,77,86
427600,2023-06-13,427900,365400,74,151
412956.09,2023-06-14,425000,365200,84,92
425000,2023-06-15,428850,424900,77,179
429900,2023-06-16,429900,429900,97,372
357143.88,2023-06-17,400000,126700,66,85
382500,2023-06-18,399800,365900,97,114
382500,2023-06-19,400000,366000,108,146
409800,2023-06-20,409900,400000,85,135
425000,2023-06-21,425000,425000,98,1637
419900,2023-06-22,420000,365800,92,129
418000,2023-06-23,419900,365800,92,109
365800,2023-06-24,366000,365700,76,101
400000,2023-06-25,415700,365700,111,132
314912.58,2023-06-26,365700,127400,64,89
367781.93,2023-06-27,415700,290000,63,83
338079.41,2023-06-28,399900,127400,57,68
352500,2023-06-29,356250,352400,82,128
374900,2023-06-30,398500,365000,67,111
357000,2023-07-01,399700,355000,74,111
399900,2023-07-02,399900,399800,92,235
403800,2023-07-03,463800,352500,80,101
440000,2023-07-04,447900,352300,100,129
434800,2023-07-05,435000,352300,91,126
397269.77,2023-07-06,447600,352400,84,86
446900,2023-07-07,447000,399900,90,117
440000,2023-07-08,440000,439900,115,133
439500,2023-07-09,439500,439500,108,140
439100,2023-07-10,439100,439000,106,129
400000,2023-07-11,430000,352300,101,151
390044.09,2023-07-12,429900,352300,84,93
429900,2023-07-13,447000,352200,88,119
459900,2023-07-14,465000,352200,98,133
403900,2023-07-15,465600,352200,109,117
448400,2023-07-16,448400,403900,91,121
403900,2023-07-17,432300,352300,89,111
382149.55,2023-07-18,415500,352200,63,67
445000,2023-07-19,465600,443900,102,376
429535.94,2023-07-20,479000,352300,51,64
767555.26,2023-07-21,3524000,352500,59,76
440947.5,2023-07-22,549900,352500,71,76
350349.32,2023-07-23,425000,150000,56,59
361060.34,2023-07-24,385000,352650,63,88
392383.88,2023-07-25,410000,352700,61,98
374499.3,2023-07-26,449600,352650,53,57
449600,2023-07-27,449800,422500,73,229
433233.85,2023-07-28,566400,352800,77,91
424715.64,2023-07-29,566100,353100,67,94
430720.63,2023-07-30,542900,354200,69,79
542500,2023-07-31,542700,500000,76,172
422807.03,2023-08-01,541600,360000,60,74
461461.11,2023-08-02,524450,362400,71,90
456084.11,2023-08-03,529700,362950,66,73
399248.79,2023-08-04,523900,356000,58,66
431115.12,2023-08-05,519800,356300,67,82
439860.21,2023-08-06,510000,356900,67,95
495500,2023-08-07,500000,475000,78,107
397952.63,2023-08-08,455500,358900,72,76
367163.86,2023-08-09,420000,361100,68,83
351098.07,2023-08-10,450000,200000,68,83
374900,2023-08-11,495500,299900,106,140
393000,2023-08-12,509450,361200,92,122
485500,2023-08-13,489000,381700,86,139
381700,2023-08-14,473600,380200,81,122
469900,2023-08-15,469900,452500,102,212
427303.13,2023-08-16,499900,380300,73,96
