average,date,highest,lowest,order_count,volume
949000000,2022-12-28,954500000,942000000,137,191
944450000,2022-12-29,951900000,915550000,112,148
943900000,2022-12-30,952800000,942000000,115,136
944800000,2022-12-31,964750000,943900000,123,150
959900000,2023-01-01,969100000,948900000,154,238
959800000,2023-01-02,969900000,870100000,146,181
944000000,2023-01-03,964600000,884100000,99,153
964000000,2023-01-04,964900000,954300000,94,131
954900000,2023-01-05,967000000,952800000,115,161
952400000,2023-01-06,969000000,952100000,83,123
957900000,2023-01-07,970900000,940000000,124,161
958883950.62,2023-01-08,970500000,950000000,69,81
967000000,2023-01-09,970000000,955000000,101,132
900200000,2023-01-10,949500000,892000000,92,158
936700000,2023-01-11,941650000,844300000,103,135
914667045.45,2023-01-12,936500000,910000000,77,88
929850000,2023-01-13,932000000,918000000,110,150
920000000,2023-01-14,927950000,890000000,126,188
920000000,2023-01-15,922400000,910200000,140,183
918300000,2023-01-16,918500000,918000000,123,145
909407017.54,2023-01-17,919900000,812500000,44,57
921400000,2023-01-18,922000000,918300000,77,102
910329787.23,2023-01-19,922100000,841650000,85,94
914000000,2023-01-20,921800000,840000000,103,149
922450000,2023-01-21,929300000,921900000,136,178
930000000,2023-01-22,934000000,920000000,131,180
909289534.88,2023-01-23,935000000,855200000,74,86
850500000,2023-01-24,934900000,842000000,68,114
920000000,2023-01-25,934500000,905000000,104,137
926266292.13,2023-01-26,934000000,919850000,65,89
934300000,2023-01-27,934500000,925000000,108,142
934900000,2023-01-28,936000000,894750000,116,144
936700000,2023-01-29,972600000,925000000,108,187
918000000,2023-01-30,919000000,915500000,70,123
929000000,2023-01-31,959000000,915100000,101,212
947212000,2023-02-01,965900000,937350000,66,75
943000000,2023-02-02,943800000,935900000,77,125
929200000,2023-02-03,943500000,923500000,103,128
929400000,2023-02-04,930900000,929000000,99,143
955000000,2023-02-05,963250000,943900000,170,227
962850000,2023-02-06,965700000,959800000,81,112
964700000,2023-02-07,965500000,961200000,77,110
965700000,2023-02-08,966400000,965100000,95,131
